what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160862233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160862510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160863446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160878627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160880675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481160902079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160937875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160939686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160944773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481160946517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481160958241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160972772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160974885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481160975454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161085244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161089581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161090651
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1481161091744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161094467
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1481161094514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161096372
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1481161098994
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1481161099146
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1481161099405
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1481161099455
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1481161100288
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1481161100434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481161101217
