what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481201831053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481201831218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481201831369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481201831513
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481201831729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481201832697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201836008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201840440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481201923750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201926504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201938939
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1481201971955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201972719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481201974884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202011145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202012460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202012866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202022665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202022688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202041839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481202061933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481202062771
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481202064448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481202068651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481202070004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481202076619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481202078963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481202082587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202085980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202093117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202093142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202095704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202097479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202125426
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481202130147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202132994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202146697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202147128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202153087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202155289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202157261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202158550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202161629
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202162211
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481202168370
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1481202176609
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202176852
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202176932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481202180122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202190111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202191597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202194489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202194945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202196310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202196805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202197400
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481202197808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202199308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202200212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202200766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202201550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202202074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202204602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202205040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202209774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202210297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202212025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202214640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202216436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202217593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481202221189
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202223428
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1481202235826
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202236070
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481202236155
