what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480647977147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480647985024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480648004126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480648004679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1480648006833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649661797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649672154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649675632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649893331
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1480649894618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649899192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649908048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649912527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649916358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649919906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649924292
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480649924395
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480649924470
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480649931874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480650017308
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1480650052012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480650080128
