what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250644096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250645902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250647731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250648913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250649299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250656755
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481250656777
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481250664648
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1481250677930
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481250678218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481250678290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250700169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250705359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250705982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250707245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250708425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481250722352
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481250724888
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481250736263
