what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998711973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998714327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998719688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998719711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998721784
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480998727939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480998774661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480998778215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480998785477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480998831774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1480998888085
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1480998891007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998894294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998895848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998898091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998903226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998903247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480998913301
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480998913787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480998920332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1480998923012
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480998924518
