what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252741121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252742446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252743069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252745931
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481252746101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252749837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252766219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252766845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481252768544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481252770911
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481252773368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252773465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252775212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252775550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252777270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252777508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252784002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481252790903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252791837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252793938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252799212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252800973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252815523
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252817004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252821122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252825804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252826490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252827780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481252828670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252852418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481252853172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481252854222
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481252856207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252856327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252857770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252857894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252859134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252859244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252860787
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481252862526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481252864393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252865899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252867253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481252883915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252887774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252888960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252889627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252892365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252892383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481252893891
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481252893925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254101411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254846204
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481254856223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254865277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254869460
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481254871505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254875031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254882707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254887954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254888676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254889843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481254890451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481254893002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481254896378
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481254906060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481254906931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254928287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254939331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254939912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254941211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481254950597
