what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163200792
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163203515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163203866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163208256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163212838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163219131
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163220947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163221297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163230620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163235583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163236885
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163239546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163239893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163244503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481163256212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481163261738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481163273027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163285413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163286104
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1481163303392
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1481163303524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163304747
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163307098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163307443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163310201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163329637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163332853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163334441
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163336915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163337258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163343754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163349716
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163352145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163352511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163354056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163355315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163356401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163356722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163358300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163387788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163399380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163429987
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163434573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163434923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163441539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163454589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163457429
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163460352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163460709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163464994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163467740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163470583
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163472485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163472836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163475018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163476731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163487323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163494091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163495628
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163497686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163498038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163499982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163530016
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481163531260
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481163531777
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163533537
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481163535756
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481163539181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163548396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163613345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163613572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163618227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481163632828
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163634612
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481163636656
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481163638684
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163643774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163643802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163644806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163645218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163647141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481163655898
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481163658119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481163658146
