what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1480940388145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480940408542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480940419614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1480940471750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480940481780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480940482389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1480940484188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1480940485610
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1480940487869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480940492894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480940493679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480940503172
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480940505875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480940810872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942099434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942104382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942104870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1480942121239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942125450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942127894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942130251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942136455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942136480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942140227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942141570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942148214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942148239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942181464
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1480942181491
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480942194952
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480942195047
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1480942210874
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480942219867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1480942231569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1480942236411
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1480942237567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942245213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942247036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1480942252782
