what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481265821051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265823552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265824622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265825237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265832528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481265836856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481265846178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481265853748
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481265855583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265855909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265863348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481265865785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481265867208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265869334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265916507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481265917055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266143554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266152141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266152727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266153106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266153582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266153921
error,log,,,"Internal Error",1481266155666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266159073
error,log,,,"Internal Error",1481266171114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266175176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266213833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266229329
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266232440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266234456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266236064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266240782
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1481266246574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481266248644
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1481266251469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266252085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266263586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266266326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266744495
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481266747119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266771535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266780867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266798968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266800243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266809233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266815555
error,log,,,"Internal Error",1481266823240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266825349
error,log,,,"Internal Error",1481266825695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266827373
error,log,,,"Internal Error",1481266827395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266828900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266847340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1481266849056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266854852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266858965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266862333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266862895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1481266864589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481266867920
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1481266868703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266871322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266872639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266876585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266882161
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1481266883492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481266887828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1481266891021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266893926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266930104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266938452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266955869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266970993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266972785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481266973597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481267149411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481267151327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481280231584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481280272378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481290474734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481290554069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481291409172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481291411769
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1481291411846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481291458745
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1481291460511
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1481291467920
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1481291468067
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1481291468149
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1481291468222
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1481505085302
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1481505085303
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1481505085330
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1481505085355
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1481505085421
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1481505085484
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1481505085607
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1481505085646
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1481505085725
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1481505085759
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1481505085784
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1481505085851
